row ID,row m/z,row retention time,1685365277_ALC_dbgi_QC03.mzML Peak area,
1,403.16059556732495,3.5149037,5.759410479995048E8,
2,227.09141308783836,3.0255486,1.6897454110390015E9,
3,355.1019025086303,2.2812682,6.386379005093418E8,
4,389.14423776192876,3.0255486,1.368787397939816E9,
5,381.0789320512385,0.6132189,9.157190927803065E8,
6,315.0472480912131,0.94815418,1.7067334845308764E9,
7,424.1808338040793,2.312643,2.5163825243387827E8,
8,359.1337867213204,2.7043716,1.7115910548435742E8,
9,408.18691170505906,2.638522,1.5124770043478343E8,
10,277.0914556526547,0.91694811,9.341461140928017E8,
11,165.05470475430494,3.0255486,6.642346380327084E8,
12,266.211498461446,4.2742779,1.4616869919700637E8,
13,428.15490965292054,0.84258193,1.4247743302810041E7,
14,213.07550667218658,2.4431525000000005,1.596589506925936E8,
15,137.0596356571143,0.81101132,5.061155860837943E8,
16,280.1907530180921,2.8481665,7907002.352731595,
17,181.0491982422623,2.0623405,1.5178476755300882E8,
18,229.1072930114959,2.638522,1.1279640194528684E8,
19,294.1180036384078,0.91694811,6.540910393804973E8,
20,163.0386988721897,2.2812682,1.932649997969574E8,
21,219.02636510999662,0.59167738,2.6120398613867626E8,
22,209.08087823014299,3.0255486,6.884436098638314E8,
23,433.1340285310994,2.4755169,8.968507570791869E7,
24,280.22709621779626,4.447630899999999,9.604803445412922E7,
25,197.08101905695784,2.7043716,9.05410401518385E7,
26,146.0810691844193,0.62363758,3.895059790435014E8,
27,794.3074296377748,3.0255486,2.0970403499054816E8,
28,394.16990591376646,2.1382754,7.277848772288585E7,
29,332.1488138550477,2.4100757,9.270514683680595E7,
30,449.10781094405314,3.1616123,1.0359729564547175E8,
31,303.0473267474541,0.65417905,2.3940481779397056E8,
32,595.1665086386563,3.4039524,1.1684100710249321E8,
33,422.16588188896685,2.8684997,5.679119585525654E7,
34,360.1496263676067,0.68523092,3.088708473368932E8,
35,243.08645374559393,2.8684997,5.355445789236697E7,
36,416.13793557816484,3.4039524,5.197420176169937E7,
37,154.08606151583697,0.81101132,2.3041054952602428E8,
38,432.2383438133937,6.5203899,6.659602319292421E7,
39,360.1283138788083,2.0623405,6.0623553490394324E7,
40,282.11801983019353,0.78986773,2.322690216026438E8,
41,426.1766294898608,3.6029323,5.376273802951614E7,
42,151.0388779507933,2.4431525000000005,5.923413910587782E7,
43,538.2287850225107,2.9840822,4.080044367858756E7,
44,375.1280354286254,2.4431525000000005,5.868524232910299E7,
45,524.2133941667425,2.6182556,3.4299356347325124E7,
