row ID,row m/z,row retention time,1685365277_ALC_dbgi_BK00.mzML Peak area,
1,287.8886051291466,0.52995227,1.4419516413526362E8,
2,159.9691288770022,0.52995227,4.3728932705104955E7,
3,432.2383285400229,6.5305414,1.4985092536327654E7,
4,415.2116369328902,6.5343518,9119885.769878706,
5,460.2694787674826,6.5343518,9330752.757710068,
6,256.17548514454194,2.053513,4868200.710721011,
7,284.20679165575217,2.053513,4074248.484965081,
8,437.1936286588778,6.5343518,5688028.050925445,
9,243.13563982797666,7.5151494,5030874.938448342,
10,259.893845560767,0.52995227,5703451.610289138,
11,453.1674213796808,6.5343518,2797744.3582825297,
12,226.18019933585256,4.8584778,2432334.710467708,
13,446.2538633067763,6.5265789,2314977.454919943,
14,221.15369382152892,7.2123368,2373930.7049908563,
15,287.888777123562,1.2325497,8153302.8484621905,
16,314.8494466727361,0.5729874,4036358.34764354,
17,283.1751591222579,2.2946156,1157516.6743112674,
18,309.22713923220687,3.9331629,2438790.3987828465,
19,244.26357738160607,6.0762008,1050599.0366914775,
20,200.2009831118502,7.162881,1121968.4120060499,
21,290.26896407420253,5.8801124,1033731.6602639206,
22,476.30680600607457,2.9539486,552344.5163525284,
23,247.1665592807971,0.6663472,1980702.2114852162,
24,165.09114934094944,7.2123368,1351031.6480690427,
25,270.19113068165143,2.5356347,613367.3959041936,
26,212.14955094466671,1.7502962,697238.0839388712,
27,216.1959204442138,4.5149821,708131.6408797142,
28,302.305372611961,6.621659500000001,846274.1749036618,
29,230.2479318171412,5.8367064,816117.5469394026,
30,139.9634181064938,1.2325497,4897485.255427735,
31,304.8916678241957,1.2449829,7627451.937062298,
32,328.2329383114885,2.2946156,706235.0477812985,
33,266.17273343159815,4.8584778,661773.4799146696,
34,212.16458024929378,3.1330974,544901.6557565264,
35,203.05244542208655,0.59481221,1596395.5753457462,
36,276.8967331033281,1.2325497,5379723.843885891,
37,305.15707132274974,2.2989072,689545.3358132837,
38,289.24860093821525,4.8584778,605731.3875484251,
39,331.2090846044069,3.9402836,1377409.907720608,
40,238.18019195858395,7.2123368,953151.2822711607,
41,280.9952416193032,0.60631843,1270564.5924277944,
42,177.0547399133351,5.7948317,602237.8440153914,
43,288.28967393635844,6.0555967,565232.1833373031,
44,168.01354920748187,0.75717578,2822583.277538891,
45,250.11866716160003,6.3874257,583624.0445457455,
46,520.3330160495178,3.0747896,358574.44107769866,
47,384.29570506043615,4.4759239,985430.8768582741,
48,212.16456053400637,4.398993199999999,444689.68731258065,
49,230.175156337917,4.398993199999999,441976.44548141834,
50,290.91209930380325,0.65620356,1283761.1655443737,
51,342.2639879414926,4.2268505,334401.5604261246,
52,268.17534847437645,2.6804358,338175.69357051834,
53,236.16197170736118,4.883435699999999,1085990.1599104318,
54,326.2537019094004,3.9331629,888040.8445981587,
55,259.10950315380046,7.5151494,609713.5919936621,
