row ID,row m/z,row retention time,1685365277_ALC_dbgi_001161_01_01.mzML Peak area,
1,146.0813397721556,0.655404,2.3167827376010604E9,
2,381.07954869718264,0.61335633,1.0300956171031816E9,
3,184.03710363000766,0.61335633,2.1237946632293484E8,
4,479.0833474865291,3.083594,9.789419434220812E7,
5,181.04963319472688,2.0547551,8.761010569167857E7,
6,219.0266943317519,0.6035731,2.499093359097334E8,
7,130.08651961771548,0.655404,3.668588350372118E8,
8,163.03898101448752,2.0547551,2.6145090772871032E8,
9,492.1142637145304,2.9857301,1.6663530290302122E8,
10,163.03901697292585,2.9857301,7.924205437743941E7,
11,181.12254344424213,3.0493985,4.4766945297531925E7,
12,360.15019695604684,0.70707447,1.9265863627333024E8,
13,295.04514147548497,2.9857301,7.786160876263186E7,
14,175.1191399180846,0.6236771100000001,1.5509151492933068E8,
15,360.1293610143926,2.0547551,3.086143546943735E7,
16,138.05512292481606,0.73756177,2.0735287013027248E8,
17,298.0969577250387,2.0333428,2.758500386091698E7,
18,404.1555735809739,2.5411435,1.780078184946887E7,
19,343.1027816189951,2.0547551,2.30676302407712E7,
20,344.13406555142825,2.3773446,1.778289555798795E7,
21,130.05013779073016,0.655404,7.436845770227294E7,
22,488.0830809248628,2.9580219,4.778493137616934E7,
23,381.0583417688824,2.0547551,1.861648820140839E7,
24,188.07065789378905,5.889642,2.39795792569095E7,
25,263.0164953146354,0.6340083,1.0690705846315807E8,
26,465.10402460026563,3.1136751,1.7015065106342774E7,
27,325.0920570809589,2.1309066,6.072550010276165E7,
28,348.99555456794394,1.8551835,6178478.625718631,
29,186.0914746902085,5.8802191,1.9392452718489476E7,
30,455.3521694021875,4.3957999,1.6814955094328642E7,
31,146.08122780824712,5.244490099999999,4580248.254500377,
32,434.2384428986675,2.6023805999999996,1.4472809055125626E7,
33,290.84746086083294,0.56040463,2.0263548377365794E7,
34,432.1869274843657,2.5411435,1.1503272607023316E7,
35,277.0321737701882,0.83366115,7.059776243984912E7,
36,293.21112872165565,6.8033234,1.4844076790310934E7,
37,166.08642852146866,1.5840707,2.054308554414202E7,
38,490.09860201619483,3.1248229,1.6815552663942963E7,
39,409.1109587341104,2.5411435,1.135397581459508E7,
40,538.2285665212054,3.4185106,1.03481887139245E7,
41,411.16252716871,2.6023805999999996,1.307954049916001E7,
42,374.1455178813983,3.1248229,8467993.457032949,
43,420.1868540356692,2.556483,9968166.642762074,
44,175.10787937480825,0.655404,4.19838069054489E7,
45,181.04967518771858,2.9857301,2.1285982694900263E7,
46,328.0660624326504,1.8551835,2.208414043327094E7,
47,139.00278771220127,1.0050975,3.2742485209394597E7,
48,437.3417324365881,4.3957999,1.2241729964306695E7,
49,490.17685046534086,0.67507053,3.631966373042425E7,
50,402.1769422918511,3.1248229,8113649.275435985,
51,465.0411418457918,0.5928086,1.4262169647614354E7,
52,325.09178450111574,4.286311,6729796.323145562,
53,244.1332756573023,5.889642,1.2389144309873424E7,
54,197.11721248620591,3.4297355,1.0809990669434303E7,
55,342.1763326862191,2.4058881,7105707.346854498,
56,439.2303836903257,4.1836346,7907520.164263154,
57,207.13810589995748,2.7211986,816653.6978558959,
58,436.2909628506506,2.8153855,7395768.234327981,
59,387.12893277532146,2.5411435,6681253.948656236,
60,475.1772387996431,0.655404,2.714419683200211E7,
61,388.1603380448883,2.0547551,2.150949196802777E7,
62,964.1782005467894,2.9580219,4087633.6357488246,
63,455.3518781452512,6.3189787,7511448.484558947,
64,476.1191703441453,3.2963301,1.0321301109931411E7,
65,168.04230777361508,0.61335633,1.5412269272849213E7,
66,293.0633597900703,0.61335633,1.6044547461275522E7,
67,219.10145947367118,3.4072919,6753146.607798995,
68,311.039500782572,1.8551835,6310040.283995163,
69,221.9930182528736,0.5928086,1.163542700978834E7,
70,365.08452768794166,2.0547551,2.3068341712172773E7,
71,229.1800560024736,2.8153855,5871532.1900148755,
72,206.88615519298492,0.56040463,1.038321050035557E7,
73,413.21503455130613,2.8153855,5547444.99971826,
74,296.076597100899,2.1090005,6476217.488661161,
75,208.97271162075742,0.57120871,1.2980926195502587E7,
76,325.1129530055431,0.70707447,3.1198002161155116E7,
77,432.25936577289673,2.7211986,793707.8417463794,
78,518.1303210598256,3.1136751,7855985.710189049,
79,460.21810536518853,2.9580219,6530796.088521582,
80,432.18685995413216,2.9580219,5766708.617626774,
81,437.3414482728669,6.3189787,5287514.995930129,
82,751.4624622895984,6.3189787,6016195.344004091,
83,180.08676694484447,0.68600172,4.0280643383121066E7,
84,365.1056397783287,0.70707447,3.06026113840109E7,
85,291.0842822724128,1.308983,2.179307485295513E7,
86,466.264981190225,4.226601,4815044.177993996,
87,406.24373662667483,2.6916383,4453617.857817344,
88,320.8664803856764,0.53913393,8078605.885443356,
89,249.18480759526742,6.3189787,4238385.829339947,
90,250.93562919902425,1.0280745,3.455217787475891E7,
91,213.06385607888458,0.6236771100000001,1.2530093827952793E7,
92,415.1601094183996,2.9580219,5900146.664317127,
93,162.0762136887865,0.73756177,2.8329581500675667E7,
94,537.3034662159063,7.3772195,4210481.486216449,
95,337.09199156808506,2.6691302,4536544.772620458,
96,373.2224917636203,2.8153855,4098259.324986104,
97,122.9247878736614,0.56040463,8563112.344419207,
98,372.16555560953384,2.3773446,4422583.245425415,
99,396.25921643006245,2.6134659,3861121.507892335,
100,427.13633143165083,2.6023805999999996,5585559.154255317,
101,434.20241663381836,2.3885404000000006,3691194.0653783344,
102,315.1931511107066,6.8033234,5442331.564924363,
103,516.1143765621398,2.9580219,1.204494611927121E7,
104,336.84393665175276,0.5499422,6567273.184843212,
105,237.0758140029709,4.7303728,5119285.263839283,
106,298.05621339260045,2.0870195,7539678.305085082,
107,335.03709769422386,1.9179956,9263392.493813202,
108,700.2817667972522,2.7591629,2905328.175712828,
109,423.12638624811,2.8522414,3020011.2383599873,
110,487.2152241117426,3.3784192,4945211.891309517,
111,228.10193831003457,5.241113,5134867.567234636,
112,343.12361413873407,0.70707447,1.9910088544017922E7,
113,496.3398918767295,7.8736996,5039300.524831241,
114,425.08484294384243,2.5411435,4086675.617334571,
115,505.13409363517695,3.4819581,880584.1331238688,
116,220.11815343583805,1.7515571,4703168.840140654,
117,599.4091860992925,7.3514949,5341643.702532041,
118,532.3480243733161,7.3724425,4514154.900965173,
119,279.05002651891715,3.2963301,5120260.355149725,
120,501.0647704722457,3.0945877,4275514.406708281,
121,420.2229982360555,4.7981576,3703084.908797932,
122,439.1576922768508,2.3885404000000006,3427161.155350165,
123,127.03928198624526,0.69632871,2.5656052306873005E7,
124,146.0693209561372,0.655404,1.561751693036721E7,
125,507.28062819056544,3.2600179,2613770.921853412,
126,520.3397082967759,7.3432823,4257988.884956067,
127,146.09335060890194,0.6340083,1.5365480804380096E7,
128,522.1606470829967,3.4819581,3223767.5496693538,
129,231.12286330696173,2.8586685,3804716.239069334,
130,153.1273482145773,2.6134659,3118274.384642511,
131,751.4626899963245,4.3957999,4271193.315410459,
132,308.11300734533825,2.1384608,3705851.378905055,
133,275.0166452934921,1.8221775,9018404.959047468,
134,146.08124159582016,6.053243,1944753.780261569,
135,334.14984192433167,1.8004464,3398210.6638432927,
136,303.04994399499145,3.1028064,5995377.465056979,
137,482.25995394744854,3.3784192,3807069.4943206892,
138,540.2439699014329,3.1782372,3325739.00013576,
139,145.04969547572136,0.655404,2.626437861215468E7,
140,242.17489719792033,3.4297355,4553777.957897677,
141,504.31728906306836,6.5852561,3526086.3253777702,
142,520.1452640509694,2.9857301,5473652.991114491,
143,418.17112752589065,2.8522414,2261160.011340909,
144,325.09189778956636,2.9580219,4770841.351675311,
145,522.2912180418307,4.0101818,2403366.9202153576,
146,365.0637089404999,2.3773446,3142207.1522123446,
147,185.00830508620956,0.7818364800000001,1.3261589987887606E7,
148,177.05454181698397,3.4430625000000004,4197478.098706436,
149,444.18671735226724,2.9041077,1156992.9399078283,
150,362.0972702741044,0.655404,1.3252433954678265E7,
151,300.1206477235,3.7582958,2835415.8576029367,
152,321.0010175745625,2.0870195,5584229.056180041,
153,385.25617678882384,4.7566933,2719587.2146181487,
154,375.2376855006332,3.4011732,3370163.800620391,
155,230.99033757375435,0.73756177,1.768866043274128E7,
