	feature_id_timar	feature_mz_timar	feature_rt_timar	candidate_structure_molecular_formula_timar	candidate_library_timar	candidate_count_similarity_peaks_matched_timar	candidate_score_similarity_timar	candidate_structure_exact_mass_timar	candidate_structure_xlogp_timar	candidate_structure_inchikey_no_stereo_timar	candidate_structure_smiles_no_stereo_timar	candidate_structure_tax_cla_chemontid_timar	candidate_structure_tax_cla_03cla_timar	candidate_structure_tax_cla_04dirpar_timar	candidate_structure_tax_npc_01pat_timar	candidate_structure_tax_npc_02sup_timar	candidate_structure_tax_npc_03cla_timar	candidate_structure_organism_occurrence_closest_timar	candidate_structure_organism_occurrence_reference_timar	candidate_structure_error_mz_timar	candidate_structure_error_rt_timar	rank_initial_timar	rank_final_timar	score_initial_timar	score_biological_timar	score_chemical_timar	score_final_timar	first_score_final_timar
408	409	446.2732830460183	2.6956525	C28H35N3O2|C29H35NO3|C29H35NO3	ISDB|ISDB|ISDB	26|24|59	0.0388807915151119|0.0508813634514809|0.202576532959938	445.27293|445.26169|445.26169	5.1045|5.1471|	WUGMCOQOIVMCHL|NNDRVGKCDJPTHD|HXPNMVWPOAPFSH	CCC1CN2CCc3cc(OC)c(O)cc3C2CC1CC1NCCc2c1[nH]c1ccccc21|CC1=C(C)C2C(Cc3ccccc3)NC(=O)C23C(=O)C=CCCCCC(C)CC=CC3C1=O|COc1cc2c(cc1OC(C)(C)C1CC=C(C)CC1)[nH]c1c3c(c(C)cc12)OC(C)(C)C=C3	0001140|0001820|	Harmala alkaloids|Isoindoles and derivatives|	Harmala alkaloids|Isoindolones|	|Alkaloids|	|Pseudoalkaloids|	|Cytochalasan alkaloids|	Magnoliopsida|Eukaryota|	10.1016/0031-9422(95)00326-3|10.1002/HLCA.19730560722|	0.00690336000008074|-0.0043300199999976|-0.0043300199999976	||	8|6|1	1|2|3	0.0388807915151119|0.0508813634514809|0.202576532959938	0.4|0.1|0	0.25|0.75|0	0.254702005580112|0.191635129158502|0.067525510986646	0.254702005580112
409	410	656.1424329944685	2.6956525																									
410	411	464.2135661735456	2.699147	C27H29NO6|C27H29NO6|C27H29NO6	ISDB|ISDB|ISDB	2|5|5	0.0126646608114243|0.00266763661056757|0.00956044346094131	463.19949|463.19949|463.19949	3.4597|4.2066|3.1646	IUSCMAAPQPVJOE|XMMPZNVQEFTBLQ|UHEVSAVWQDYEQH	COC1CCC23c4cc5c(cc4C(=O)C(CCc4ccc(O)cc4)C2C(=O)N(C)C3C1)OCO5|COCC1C(c2cc3c(cc2OC)OCO3)C2c3c(c4ccccc4n(C)c3=O)OC(C)(C)C12|COC1C=CC2(C(=O)C(CCc3ccc(O)cc3)Cc3cc4c(cc32)OCO4)C(N(C)C=O)C1	0001820|0001291|0000048	Isoindoles and derivatives|Quinolines and derivatives|Tetralins	Isoindolones|Pyranoquinolines|Tetralins	Alkaloids|Shikimates and Phenylpropanoids|Alkaloids	Tyrosine alkaloids|notClassified|Tyrosine alkaloids	Amarylidaceae alkaloids|notClassified|Amarylidaceae alkaloids	Magnoliopsida|Magnoliopsida|Magnoliopsida	10.1016/S0031-9422(98)00651-7|10.1016/J.TET.2012.01.007|10.1016/S0031-9422(98)00651-7	-0.00683635199999344|-0.00683635199999344|-0.00683635199999344	||	3|8|5	1|2|3	0.0126646608114243|0.00266763661056757|0.00956044346094131	0.4|0.4|0.4	0.75|0.75|0.5	0.329046378428633|0.325714037028347|0.286470097770264	0.329046378428633
411	412	639.1203128772993	2.7003589	C27H26O18|C27H26O18|C27H26O18	ISDB|ISDB|ISDB	158|68|95	0.352828919887543|0.263347715139389|0.290992468595505	638.11191|638.11191|638.11191	-2.8014|-2.2357|-2.5868	SPWLSDULYCMRFB|PBBVWJQPAZYQDB|OPANBGHBBMSMQC	O=C(O)C1OC(OC(=O)C2OC(Oc3cc(O)c4c(=O)cc(-c5ccc(O)c(O)c5)oc4c3)C(O)C(O)C2O)C(O)C(O)C1O|O=C(O)C1OC(OC2C(Oc3cc(O)c4c(=O)cc(-c5ccc(O)c(O)c5)oc4c3)OC(C(=O)O)C(O)C2O)C(O)C(O)C1O|O=C(O)C1OC(Oc2cc(O)c3c(=O)cc(-c4ccc(O)c(OC5OC(C(=O)O)C(O)C(O)C5O)c4)oc3c2)C(O)C(O)C1O	0003534|0003534|0003534	Flavonoids|Flavonoids|Flavonoids	Flavonoid-7-O-glucuronides|Flavonoid-7-O-glucuronides|Flavonoid-7-O-glucuronides	Shikimates and Phenylpropanoids|Shikimates and Phenylpropanoids|Shikimates and Phenylpropanoids	Flavonoids|Flavonoids|Flavonoids	Flavones|Flavones|Flavones	Magnoliopsida|Magnoliopsida|Streptophyta	10.1016/S0367-326X(98)00016-1 $ 10.1365/S10337-004-0359-9|10.1016/S0031-9422(00)83060-5 $ 10.1021/JF063635B $ 10.1016/0305-1978(83)90063-7 $ 10.1055/S-2001-10878 $ 10.1248/BPB.25.1197 $ 10.1007/S10600-006-0049-Y $ 10.1055/S-2006-958152 $ 10.1016/S0031-9422(00)83549-9|10.1016/0031-9422(74)85120-4 $ 10.1016/0031-9422(75)85194-6	-0.00111000799995509|-0.00111000800006877|-0.00111000800006877	||	1|4|3	1|2|3	0.352828919887543|0.263347715139389|0.290992468595505	0.4|0.4|0.3	1|1|1	0.483976006328881|0.454148938079496|0.413313805848151	0.483976006328881
412	413	374.1814533102909	2.7021077	C24H23NO3|C24H23NO3|C21H27NO3S|C21H24FNO4	ISDB|ISDB|ISDB|ISDB	1|1|1|1	0|0|0|0	373.16779|373.16779|373.17116|373.16894	5.70306|5.70306|4.5255|3.5313	JTZHYHRJMAAGGY|ZVEFMIXBVJXINX|UXKHBPOYZOPFIH|MLDWSQWMXACHHN	COc1cccc2c(-c3ccc4cc(C)nc(C)c4c3O)c(C)cc(OC)c12|COc1ccc(-c2ccc3cc(C)nc(C)c3c2O)c2cc(C)cc(OC)c12|CC(C)CC(=O)OCC=CCCNC(=O)C=CC=CC=Cc1cccs1|COC(=O)CN(CC=Cc1ccc(OC)c(OC)c1)Cc1ccc(F)cc1	0002195|0002195|0000324|0000394	Isoquinolines and derivatives|Isoquinolines and derivatives|Fatty Acyls|Carboxylic acids and derivatives	Naphthylisoquinolines|Naphthylisoquinolines|Fatty acid esters|Alpha amino acid esters	Alkaloids|Alkaloids|Alkaloids|Shikimates and Phenylpropanoids $ Amino acids and Peptides	Tyrosine alkaloids|Tyrosine alkaloids|Peptide alkaloids|Phenylpropanoids (C6-C3)	Isoquinoline alkaloids|Isoquinoline alkaloids|Simple amide alkaloids|notClassified	Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida	10.1021/NP049626J|10.1021/NP049626J|10.1016/J.BMC.2013.09.017|10.3389/FPLS.2012.00283	-0.00643040400001382|-0.00643040400001382|-0.00305927600004452|-0.0052875320000112	|||	1|1|1|1	1|1|2|3	0|0|0|0	0.4|0.4|0.4|0.4	1|1|0.5|0.25	0.366366366366366|0.366366366366366|0.283283283283283|0.241741741741742	0.366366366366366
413	414	434.27491455122185	2.7067242	C28H35NO3|C28H35NO3|C28H35NO3	ISDB|ISDB|ISDB	9|17|12	0|0.0504156015813351|0.0498143173754215	433.26169|433.26169|433.26169	5.3054|3.9027|4.2606	WDPIULZTNJKEMP|WSPVFJOMQYINNH|QPGWFFXHPZTAJK	CC1=CC2(C)C(C)C(C)=CC3(C)C=C(C)C2C1C3C=CC(O)=C1C(=O)C2CCCN2C1=O|C=C1C(C)C2C(Cc3ccccc3)NC(=O)C23C(O)CC2C(C)=CC(C)CC4OC1C3C42|C=C1C(C)C2C(Cc3ccccc3)NC(=O)C23C(=O)C=CC(C)CC(C)CC=CC3C1O	0001323|0000130 $ 0001819|0001820	Pyrrolizidines|Azaspirodecane derivatives $ Isoindoles and derivatives|Isoindoles and derivatives	Pyrrolizidinones|Azaspirodecane derivatives $ Isoindoles and derivatives|Isoindolones	Alkaloids|Alkaloids|Alkaloids	Ornithine alkaloids|Pseudoalkaloids|Pseudoalkaloids	Pyrrolizidine alkaloids|Cytochalasan alkaloids|Cytochalasan alkaloids	Eukaryota|Eukaryota|Eukaryota	10.7164/ANTIBIOTICS.47.571|10.1021/ACS.JOC.7B01793|10.1016/0031-9422(95)00644-3	-0.00593001999999387|-0.00593001999999387|-0.00593001999999387	||	14|4|5	1|2|3	0|0.0504156015813351|0.0498143173754215	0.1|0.1|0.1	1|0.75|0.75	0.216216216216216|0.191479875201786|0.191279447133148	0.216216216216216
414	415	342.17063389320117	2.7101	C20H24NO4+|C20H23NO4|C20H23NO4	ISDB|MassBank - 2023.11|ISDB	15|33|14	0.211408108472824|0.355520188808441|0.234943836927414	342.16998|341.16271|341.16271	3.0117|3.1701|3.1701	YLRXAIKMLINXQY|QELDJEKNFOQJOY|IDQUPXZJURZAGF	COc1ccc2c(c1O)-c1c(O)c(OC)cc3c1C(C2)[N+](C)(C)CC3|COc1ccc2c(c1O)-c1c(OC)c(OC)cc3c1C(C2)N(C)CC3|COc1cc2c3c(c1O)-c1c(ccc(OC)c1OC)CC3N(C)CC2	0000381|0000381|0000381	Aporphines|Aporphines|Aporphines	Aporphines|Aporphines|Aporphines	Alkaloids|Alkaloids|Alkaloids	Tyrosine alkaloids|Tyrosine alkaloids|Tyrosine alkaloids	Aporphine alkaloids $ Isoquinoline alkaloids|Aporphine alkaloids $ Isoquinoline alkaloids|Aporphine alkaloids $ Isoquinoline alkaloids	Clematis recta|Ranunculaceae|Ranunculaceae	10.1135/CCCC19951034 $ 10.1135/CCCC19870804|10.1016/S0040-4020(01)82640-5 $ 10.1021/NP50040A036 $ 10.1021/NP50062A043 $ 10.1016/0031-9422(90)85036-F $ 10.1021/NP9603885 $ 10.1016/S0031-9422(00)00068-6 $ 10.1016/0040-4039(64)83163-4|10.1007/S10600-010-9464-1 $ 10.1016/S0040-4020(01)82640-5 $ 10.1007/BF00597733 $ 10.3987/COM-92-6277 $ 10.1021/NP9603885 $ 10.3987/R-1985-10-2483 $ 10.1016/0040-4039(64)83163-4 $ 10.1007/BF00581601	-0.000615783999933228|-0.000599999999963075|-0.000615783999933228	||	11|1|8	1|2|3	0.211408108472824|0.355520188808441|0.234943836927414	0.9|0.6|0.6	0.75|0.75|0.75	0.645544444566016|0.543431654527738|0.503239537234063	0.645544444566016
415	416	369.1908978077337	2.7119715	C19H28O7|C19H28O7|C19H28O8|C19H28O8|C19H28O8|C25H36O11|C25H36O11|C19H28O7|C19H28O7|C19H28O7|C19H28O7|C19H28O7|C19H28O7|C19H28O7|C19H28O7|C19H28O7|C19H28O7|C19H28O7|C19H28O7|C19H28O7|C19H28O8|C19H28O8|C19H28O8|C19H28O8|C19H28O8|C19H28O8|C25H36O11|C25H36O11|C25H40O13|C25H40O13|C25H38O12	ISDB|ISDB|[1M+(H)1]1+ - O|[1M+(H)1]1+ - O|[1M+(H)1]1+ - O|[1M+(H)1]1+ - C6H8O4 (HRF)|[1M+(H)1]1+ - C6H8O4 (HRF)|ISDB|ISDB|ISDB|ISDB|ISDB|ISDB|ISDB|ISDB|ISDB|ISDB|ISDB|ISDB|ISDB|[1M+(H)1]1+ - O|[1M+(H)1]1+ - O|[1M+(H)1]1+ - O|[1M+(H)1]1+ - O|[1M+(H)1]1+ - O|[1M+(H)1]1+ - O|[1M+(H)1]1+ - C6H8O4 (HRF)|[1M+(H)1]1+ - C6H8O4 (HRF)|[1M+(H)1]1+ - C6H12O6 (hexose)|[1M+(H)1]1+ - C6H12O6 (hexose)|[1M+(H)1]1+ - C6H10O5 (hexose-H2O)	5|1||||||3|2|2|2|1|1|1|2|1|1|2|1|1|||||||||||	0.205726161599159|0||||||0|0|0|0|0|0|0|0|0|0|0|0|0|||||||||||	368.1835|368.1835|384.17842|384.17842|384.17842|512.22576|512.22576|368.1835|368.1835|368.1835|368.1835|368.1835|368.1835|368.1835|368.1835|368.1835|368.1835|368.1835|368.1835|368.1835|384.17842|384.17842|384.17842|384.17842|384.17842|384.17842|512.22576|512.22576|548.24689|548.24689|530.23633	0.0647|1.8894|-0.558|2.091|0.0316|0.0082|0.0082|-0.5573|1.153|1.7999|1.3104|0.5547|1.3104|1.0089|-0.7993|0.5547|-0.7993|1.7201|1.1782|1.153|1.3041|1.3277|2.6024|-0.2341|-0.2341|-0.09|-0.5855|-0.5855|-2.8943|-1.5504|-2.9751	VAXHELKDGGSASL|KUCPEGRFGJINTH|DDMIPYQLIZVPJH|YFKOHXYZUOKJHH|NMDKNHOJRXLMGG|CWNBWXAITUWZFQ|OXQRNKCCMKNYOF|QVRFHIZYHPQMDT|FVCOWQVZIVEGLE|FZHYVARJPXGTKX|HREHFPZHVCNOMQ|MWJDCBNBAQIKDY|UFLGQPOBCWRADC|XCPJVGGECZUKNO|XLXUQTXHTMEKFB|XZSXZVXLFVLPCM|YEMMVDQCVABATJ|YMOXYMVJFVNYDF|ZMPZMFMVZHHOFG|ZWJXUWIAGJLWCY|HXMXOBXOPPGJHP|PCWLZMIAWSKQEO|FIHJKUPKCHIPAT|HHKPUDQKGQCHRO|FWGYSXFXRHTSJT|OCMWZBCBPJGXPK|BGCIFULDWIWSQY|XFXKHZQKQMNRDM|JLIUTAYKPGJIKJ|NRHLRVSITHEZFV|TYXFVKGQQWDJKA	CC1(C)CC(=O)C=C2C=C(COC3OC(CO)C(O)C(O)C3O)CCC21|CCOC1OC(OCC)C2=C(CO)C(=O)CC2=C1COC(=O)CC(C)C|CC1C=CC2(O1)C(COC1OC(CO)C(O)C(O)C1O)=CC(=O)CC2(C)C|CCC(=O)OC1C(OC(C)=O)C=C(C(=O)OC)CC1OC(=O)CC(C)CC|CC1=CC(=O)CC(C)(C)C12CCC1(COC3OC(CO)C(O)C(O)C3O1)O2|COC(=O)Cc1cc(O)cc(C=CC2(C)CCC(C(C)(C)O)O2)c1OC1OC(CO)C(O)C(O)C1O|COC(=O)Cc1cc(O)c(C=CC2(C)CCC(C(C)(C)O)O2)cc1OC1OC(CO)C(O)C(O)C1O|CC1CC(O)C(O)C2(C)C1CC(O)C13COC4(C)C(OC(=O)C41)C(O)C23|C=C1C(=O)OC2C1C(O)C(=O)C(C)CCCC(C)(O)C2OC(=O)C(C)C|CC(=O)OC1CC2(C=O)OC2CCC2(C)OC2C(OC(C)=O)C1C(C)C|C=C1C(=O)OC2CC(C)C3(O)CC(O)C(C)(CC(OC(=O)C(C)C)C12)O3|C=C1C(=O)OC2C(O)CC3C(OC(=O)CC(C)C)CC(O)C3(C)C(O)C12|C=C1C(=O)OC2CC(C)C3(O)OC(C)(CC(OC(=O)C(C)C)C12)CC3O|CC=CC(=O)C1(O)C(C)C(O)CC2C(C)C(=O)OC2C1OC(=O)C(C)C|CC1C(O)C(O)C2C3(C)C(OC(=O)C13)C(O)C1C(C)(O)C=CC(O)C12C|CC(C)C(=O)OC1CC(C)(O)C2(O)C=CC(C)(O)C2C2OC(=O)C(C)C12|C=C1CC(O)C(O)C2(C)C1C(O)C1OC(=O)C3C(C)C(O)C(O)C2C13C|COC1C2=C(C)C(=O)OC2(OC)CC2(O)CCC(OC(C)=O)C(C)C12C|CC(=CCO)C(=O)OC1C(=O)C(CO)=CC(OC(=O)C(C)C)C1C(C)C|C=C1C(=O)OC2CC(C)C(=O)CC(O)C(C)(O)CC(OC(=O)C(C)C)C12|CCOCC1=COC(OC(=O)CC(C)C)C2C1(O)CC(OC(C)=O)C21CO1|COC1OC(OC(=O)CC(C)C)C2C(=C1COC(C)=O)C=CC2(CO)OC|CC1CCC2C(C)C(OC(=O)CCC(=O)O)OC3OC4(C)CCC1C32OO4|CC(C)C(=O)OC1CC(C)(O)C2(O)C3OC3C(C)(O)C2C2OC(=O)C(C)C12|CC(C)C(=O)OC1CC(C)(O)C23OC2C(O)C(C)(O)C3C2OC(=O)C(C)C12|CC(C)C(=O)OC1CC(C)(O)C23OC2CC(C)(O)C3(O)C2OC(=O)C(C)C12|CC(=CCO)CCC=C(C)C(=O)OCC1=CC(O)C2C=COC(OC3OC(CO)C(O)C(O)C3O)C12|CC(=CCO)CCC=C(C)C(=O)OC1C=C(CO)C2C(OC3OC(CO)C(O)C(O)C3O)OC=CC12|CC(C=CC1C(COC2OC(CO)C(O)C(O)C2O)=CC(=O)CC1(C)C)OC1OC(CO)C(O)C(O)C1O|CC1=CC(=O)CC(C)(C)C1CCC(C)OC1OC(CO)C(O)C(O)C1OC1OC(C(=O)O)C(O)C(O)C1O|CC1C(O)C(O)C2C3(C)C(OC(=O)C13)C(O)C1C(C)(O)C=CC(OC3OC(CO)C(O)C(O)C3O)C12C	0002207|0000324|0002207|0002966|0002011|0004165|0004165|0002119|0001771|0002456|0001771|0000324|0001771|0001283|0001772|0001770|0001772|0001283|0001401|0001771|0001565|0000324|0002440|0001770|0001770|0001770|0004081|0004081|0002049|0003861|0001772	Organooxygen compounds|Fatty Acyls|Organooxygen compounds|Carboxylic acids and derivatives|Pyranodioxins|Organooxygen compounds|Organooxygen compounds|Prenol lipids|Prenol lipids|Prenol lipids|Prenol lipids|Fatty Acyls|Prenol lipids|Prenol lipids|Prenol lipids|Prenol lipids|Prenol lipids|Prenol lipids|Prenol lipids|Prenol lipids|Prenol lipids|Fatty Acyls|Prenol lipids|Prenol lipids|Prenol lipids|Prenol lipids|Prenol lipids|Prenol lipids|Prenol lipids|Fatty Acyls|Prenol lipids	O-glycosyl compounds|Fatty acid esters|O-glycosyl compounds|Tetracarboxylic acids and derivatives|Pyranodioxins|Phenolic glycosides|Phenolic glycosides|Quassinoids|Germacranolides and derivatives|Germacrane sesquiterpenoids|Germacranolides and derivatives|Fatty acid esters|Germacranolides and derivatives|Terpene lactones|Eudesmanolides, secoeudesmanolides, and derivatives|Guaianolides and derivatives|Eudesmanolides, secoeudesmanolides, and derivatives|Terpene lactones|Menthane monoterpenoids|Germacranolides and derivatives|Iridoids and derivatives|Fatty acid esters|Artemisinins|Guaianolides and derivatives|Guaianolides and derivatives|Guaianolides and derivatives|Iridoid O-glycosides|Iridoid O-glycosides|Terpene glycosides|Fatty acyl glycosides of mono- and disaccharides|Eudesmanolides, secoeudesmanolides, and derivatives	Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids|Terpenoids	Apocarotenoids|notClassified|notClassified|notClassified|notClassified|notClassified|notClassified|Diterpenoids|Sesquiterpenoids|Sesquiterpenoids|Sesquiterpenoids|Sesquiterpenoids|Sesquiterpenoids|Sesquiterpenoids|Triterpenoids|Sesquiterpenoids|Triterpenoids|Sesquiterpenoids|Sesquiterpenoids|Sesquiterpenoids|Monoterpenoids|Monoterpenoids|Sesquiterpenoids|Sesquiterpenoids|Sesquiterpenoids|Sesquiterpenoids|Monoterpenoids|Monoterpenoids|Apocarotenoids|Apocarotenoids|Triterpenoids	Megastigmanes|notClassified|notClassified|notClassified|notClassified|notClassified|notClassified|notClassified|Germacrane sesquiterpenoids|Germacrane sesquiterpenoids|Germacrane sesquiterpenoids|Germacrane sesquiterpenoids|Germacrane sesquiterpenoids $ Guaiane sesquiterpenoids|Germacrane sesquiterpenoids|Quassinoids|Guaiane sesquiterpenoids|Quassinoids|Eremophilane sesquiterpenoids|Germacrane sesquiterpenoids|Germacrane sesquiterpenoids|Iridoids monoterpenoids|Iridoids monoterpenoids|Arteminisin|Guaiane sesquiterpenoids|Guaiane sesquiterpenoids|Guaiane sesquiterpenoids|Iridoids monoterpenoids|Iridoids monoterpenoids|Megastigmanes|Megastigmanes|Quassinoids	Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida|Magnoliopsida	10.1016/J.TET.2009.03.040|10.1080/14786419.2010.533667|10.1248/CPB.53.1600|10.1016/0031-9422(91)85124-I|10.1016/S0031-9422(99)00060-6|10.1016/J.JEP.2015.01.049 $ 10.1016/J.TET.2008.11.041|10.1016/J.TET.2008.11.041|10.1021/NP980023F|10.1016/0031-9422(82)80163-5|10.1021/NP0496183 $ 10.1021/NP0496183.S002|10.1016/0305-1978(89)90094-X $ 10.1016/S0031-9422(00)84894-3 $ 10.1016/S0031-9422(00)81056-0 $ 10.1248/CPB.55.1240 $ 10.1016/J.FITOTE.2007.02.015 $ 10.1016/J.PHYTOCHEM.2008.03.019 $ 10.1016/S0031-9422(00)81061-4 $ 10.1016/S0031-9422(00)97006-7 $ 10.1016/0031-9422(95)00569-2 $ 10.1021/NP970530H $ 10.1021/JO01325A018|10.3987/COM-89-S101|10.1021/NP010545M|10.1021/JO00205A012|10.1016/J.FOODCHEM.2009.11.012|10.1016/0031-9422(88)80289-9|10.1016/J.BMCL.2014.06.058|10.1002/HLCA.200890119|10.1016/0031-9422(91)83197-S|10.1021/NP010545M|10.1021/NP800716F $ 10.1021/NP500821G|10.1080/10286020.2011.618804|10.1021/ACS.JNATPROD.8B00956 $ 10.1371/JOURNAL.PONE.0080790|10.1016/0031-9422(88)80289-9|10.1016/0031-9422(88)80289-9|10.1016/0031-9422(88)80289-9|10.1016/0031-9422(92)80354-H|10.1055/S-2007-971329|10.1248/CPB.56.610|10.1016/S0040-4039(97)10673-6|10.1248/CPB.51.1301 $ 10.1002/CHIN.200416159	-0.000120763999973406|-0.000120763999973406|-0.00010780773368424|-0.00010780773368424|-0.00010780773368424|-0.000117807733772679|-0.000117807733772679|-0.000120764000087092|-0.000120763999973406|-0.000120763999973406|-0.000120763999973406|-0.000120763999973406|-0.000120763999973406|-0.000120763999973406|-0.000120763999973406|-0.000120763999973406|-0.000120763999973406|-0.000120763999973406|-0.000120763999973406|-0.000120763999973406|-0.00010780773368424|-0.00010780773368424|-0.00010780773368424|-0.00010780773368424|-0.00010780773368424|-0.00010780773368424|-0.000117807733772679|-0.000117807733772679|-0.000117807733658992|-0.000117807733658992|-0.00010780773368424	||||||||||||||||||||||||||||||	1|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6|6	1|2|2|2|2|2|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3	0.205726161599159|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0	0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.4	0.666|1|1|1|1|1|1|0.75|0.75|0.75|0.75|0.75|0.75|0.75|0.75|0.75|0.75|0.75|0.75|0.75|0.75|0.75|0.75|0.75|0.75|0.75|0.75|0.75|0.75|0.75|0.75	0.379442254066586|0.366366366366366|0.366366366366366|0.366366366366366|0.366366366366366|0.366366366366366|0.366366366366366|0.324824824824825|0.324824824824825|0.324824824824825|0.324824824824825|0.324824824824825|0.324824824824825|0.324824824824825|0.324824824824825|0.324824824824825|0.324824824824825|0.324824824824825|0.324824824824825|0.324824824824825|0.324824824824825|0.324824824824825|0.324824824824825|0.324824824824825|0.324824824824825|0.324824824824825|0.324824824824825|0.324824824824825|0.324824824824825|0.324824824824825|0.324824824824825	0.379442254066586
416	417	459.1840280086148	2.7128966	C21H30O11|C21H30O11|C22H35IO2	ISDB|ISDB|ISDB	6|1|9	0.00565069075673819|0|0.0113883875310421	458.17881|458.17881|458.16818	-0.5544|-0.9777|7.2356	VSPTVGYEVVITSP|HISDFVSSTMLDOG|NPCIWINHUDIWAV	C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)O)C1CCOC(=O)C(C)=CC|CC(=O)OCC12C(OC(C)=O)C(=O)C3C(O)C1(OC3(C)C)C(C)(O)CC(O)C2OC(C)=O|CC(CCCCCCCCCCCCc1ccc(I)cc1)CC(=O)O	0002049|0002051|0002949	Prenol lipids|Prenol lipids|Fatty Acyls	Terpene glycosides|Agarofurans|Long-chain fatty acids	Terpenoids|Terpenoids|Polyketides	Monoterpenoids|Sesquiterpenoids|notClassified	Secoiridoid monoterpenoids|Agarofuran sesquiterpenoids|notClassified	Magnoliopsida|Magnoliopsida|Ranunculaceae	10.1002/HLCA.200900232|10.1021/NP0205248|10.1016/0031-9422(95)00756-3	0.00208777999989707|0.00208777999989707|-0.00854564000002256	||	10|22|2	1|2|3	0.00565069075673819|0|0.0113883875310421	0.4|0.4|0.6	1|1|0.25	0.368249929951946|0.366366366366366|0.345637971018856	0.368249929951946
417	418	654.1666821310063	2.7111777999999997	C29H32BrN7O6|C29H32BrN7O6	ISDB|ISDB	15|13	0.0540808252990246|0.0689399391412735	653.15974|653.15974	1.3962|	AOYPXEUCIFBDES|MYFPARQKWRXYIK	CC(O)C(N)C(=O)N(C(=O)C(N)Cc1ccc(O)c(O)c1)C(=O)C(Cc1cnc[nH]1)NC=Cc1c[nH]c2cc(Br)ccc12|CC(O)C(N)C(=O)NC(Cc1ccc(O)c(O)c1)C(=O)NC(Cc1c[nH]cn1)C(=O)NC=Cc1c[nH]c2cc(Br)ccc12	0004319|	Carboxylic acids and derivatives|	Tyrosine and derivatives|	Amino acids and Peptides|	Small peptides|	Tripeptides|	Eukaryota|	10.1021/BI00453A021|	0.000319844000159719|0.000319844000159719	|	2|1	1|2	0.0540808252990246|0.0689399391412735	0.1|0	0.25|0	0.109618533357933|0.0229799797137578	0.109618533357933
418	419	234.17015516402626	2.7120017999999995																									
419	420	225.148628327542	2.7113544999999997	C13H20O3|C13H20O3|C13H20O3	ISDB|ISDB|ISDB	16|21|22	0.22290426492691|0.180101424455643|0.263861894607544	224.14124|224.14124|224.14124	1.5998|1.5888|1.4573	KPQMCAKZRXOZLB|QMXLZUOHZGYGDY|QNFGCJUWVHQNGF	CC1=CC(=O)CC(C)(C)C1(O)C=CC(C)O|CC(=O)C=C=C1C(C)(C)CC(O)CC1(C)O|CC1=CC(=O)CC(C)(C)C1C=CC(O)CO	0001550|0001550|0001550	Prenol lipids|Prenol lipids|Prenol lipids	Sesquiterpenoids|Sesquiterpenoids|Sesquiterpenoids	Terpenoids|Terpenoids|Terpenoids	Apocarotenoids|Apocarotenoids|Apocarotenoids	Apocarotenoids(ε-)|Apocarotenoids (β-) $ Megastigmanes|Apocarotenoids(ε-)	Ranunculales|Ranunculales|Magnoliopsida	10.1016/J.BMCL.2019.07.010 $ 10.1016/J.PHYTOCHEM.2004.08.007|10.1016/0031-9422(91)85061-4|10.1016/S0031-9422(00)00471-4	-7.94999999982338e-05|-7.94999999982338e-05|-7.94999999982338e-05	||	13|29|6	1|2|3	0.22290426492691|0.180101424455643|0.263861894607544	0.5|0.5|0.4	0.75|0.75|0.75	0.449176296517178|0.434908683026756|0.412778789694006	0.449176296517178
