row ID,row m/z,row retention time,1685365277_ALC_dbgi_BK00_neg.mzML Peak area,
265,336.86007316308945,0.53513338,2.917347872250932E8,
70,190.9278553052292,0.53513338,3.7120182626132405E8,
303,361.1679309655765,7.1327602,1.3549043187374893E8,
213,308.86441960885765,0.53513338,1.3089508051570359E8,
110,221.15463641553973,7.5002516,4.610970273212578E7,
481,554.7203275289056,0.53513338,4.1464940921030745E7,
186,293.1770135509522,5.9750554,2.126661215128701E7,
370,408.7893190316481,0.53513338,3.7272437595041126E7,
224,311.17003441576173,8.16992,8.144946331926705E7,
262,334.8646433918998,0.53513338,2.683553135781103E7,
77,194.0816612981262,6.4170485,1.3630716027840955E7,
439,476.77782924706537,0.55588742,2.1096542901016835E7,
245,325.18567571479235,9.1128303,5.35353715549786E7,
305,361.1673557675424,8.0485353,1.108001055146675E7,
137,242.17605422680435,4.8543816,5347585.609212666,
197,297.1539493369527,7.4621976,2.447086598302368E7,
246,325.1857038587059,8.8361718,1.7011148688301794E7,
159,258.91582366036226,0.5659769,1.751645548495448E7,
363,404.8463217088602,0.55588742,1.2840607901422728E7,
209,306.86903582648097,0.53513338,1.1965372362361612E7,
63,187.0965300012832,3.6193609,4103386.974192895,
501,622.708103248926,0.53513338,8266968.136909493,
163,262.85811873004127,0.53513338,9626935.228558144,
251,326.83120251504096,0.58799761,9524809.889273807,
66,188.93198596968767,0.53513338,1.3726493145656519E7,
56,180.89808986979466,0.58799761,9504728.889035653,
294,355.1594639466125,9.9386581,4882627.324115887,
365,406.7936597530841,0.53513338,5997851.508070202,
517,672.6540972017535,0.53513338,5113722.930692962,
419,460.084477075004,7.1286685,3592911.7917708545,
433,472.8350773463578,0.5659769,5699116.991722906,
342,387.11523644348637,0.61009118,6838451.715140824,
324,376.85163180490815,0.55588742,6865776.82822082,
6,134.86365283758815,0.62124738,1.618078070908478E7,
373,409.3113379116823,10.748194,1875154.839634162,
201,298.83564833770055,0.57699976,4814533.883758017,
335,383.1906188286419,10.642151,2163239.2691150242,
95,207.91889450026247,0.61009118,4621450.218805052,
8,136.90802403061838,0.59989128,4733400.221604606,
165,265.14810042572867,7.3008924,2356242.447688978,
270,339.20086520311935,11.292776,1.736806244639672E7,
133,239.1284997258291,6.1959081,1584082.3109165952,
189,293.17656162569205,6.4360482,1294459.6528250573,
152,253.14436928240937,5.5825603,1303747.1589392277,
75,193.08596008527024,5.4357131,1357919.7900628229,
394,433.1357414469651,3.0186254,2456979.4007300786,
271,339.20113876152436,9.857965,7128650.1940278355,
304,361.1656807235904,5.9750554,1268078.4997273344,
405,444.08853077913636,7.1327602,1215111.3956614742,
45,173.0804242757426,3.0575436,1105375.4543413678,
272,339.2008979887893,10.50579,5917756.561945792,
122,228.1601006434183,4.3956827,720673.9058732358,
289,353.0886674070349,2.2749386,1087330.7111426222,
333,381.17506124365747,10.030658,1119278.1366785513,
216,309.1718633014732,6.2034166,885429.4339348137,
40,171.06467004159379,3.2780088,1758025.1721087676,
127,236.1046704043628,5.9750554,601588.8880578504,
62,186.1121010606033,2.8792491,581033.9941551022,
36,163.92739118096432,0.61009118,2059601.5196019881,
101,214.1444694448667,3.9133588,456200.5264581798,
548,819.5264080066725,11.223841,706308.8053005864,
26,157.0140867487573,11.903549,7221386.385475268,
99,213.11278668952127,3.9774813,767193.5918521688,
146,250.14451314475826,8.0777227,660254.4220327642,
356,400.1564337148603,9.9386581,728507.1689071307,
132,239.066861808683,7.2354324,615008.815492692,
147,251.09215458633463,5.3787073,737379.6959949344,
520,681.298274150938,9.358762,499523.8178584046,
121,227.12842385832604,5.3877343,603986.7480082207,
