row ID,row m/z,row retention time,1685365277_ALC_dbgi_001150_01_01_neg.mzML Peak area,
1000,321.0844708296306,0.90838982,1.1061389214002323E10,
1151,341.0899636284153,2.0381219,3.269772970627805E9,
1234,353.089635490158,2.2664329,1.6613960337095146E9,
47,133.01295276665664,0.65003532,3.48272706807276E9,
3404,707.1884836358844,2.2664329,5.369948827001033E8,
2011,447.1370971562052,0.61325845,6.527743239789298E8,
3346,683.1901037011689,2.0381219,5.3052048157919645E8,
922,311.0420154341738,1.8970729,1.1451434039773133E9,
2206,473.0750758684039,2.981951,5.727073324380922E8,
808,295.04678073691747,2.2470601,4.026664028565798E8,
2644,533.173317098583,0.61325845,4.330726428198003E8,
322,191.0552059672758,0.62237717,6.501331880809016E8,
666,267.051459998903,2.5953223,2.757749731184319E8,
316,191.0190612010676,0.8099738,6.222896980801736E8,
2258,477.06978683658434,3.0901648,2.3990684208353883E8,
3118,623.0927844479384,1.8970729,2.1067978561816815E8,
1029,325.05805450780025,2.456367,2.8196906947954345E8,
3285,665.139402866732,1.9259018,1.7528897252107865E8,
2238,475.13267313031895,0.65951025,5.621498187818373E8,
261,179.0342916516137,2.456367,2.428668585948943E8,
482,225.06130188229838,0.90838982,1.306207362394559E9,
2125,461.0758282106379,3.3402236,1.3861224246433082E8,
1154,341.10980897861333,0.60423353,4.098325783968735E8,
2993,597.1709328819722,1.7080074,1.1785184884271225E8,
1752,413.147074393432,4.1579452,1.6790234933881116E8,
1117,337.0945017855621,2.8938641,1.2381304413112187E8,
1484,381.1053137584421,0.8881733,7.00555318664349E8,
2070,455.1219153569437,2.7730754,8.019232504178818E7,
3119,623.130309487919,2.4254527,6.739639109330934E7,
3692,819.5389875039199,11.253015,2.6582903128578323E8,
605,253.03567364640588,2.8270062,7.980336301032828E7,
2403,493.23220630876375,4.2270677,7.853323240101033E7,
240,175.05997576397542,2.307268,9.497761050083357E7,
1936,437.11015090733343,2.8501706,7.698927114073022E7,
3213,649.1427925454781,2.2571871,7.499460719905038E7,
120,149.0077439542203,1.8970729,1.3599917340777928E8,
3608,791.5043756008995,10.895363,1.1978296469402358E8,
2189,471.0771148286304,0.58525655,7.824858322304413E7,
2366,488.16408033363643,0.61325845,1.201489838269593E8,
1537,387.16707269741624,2.6275242,8.983971535810702E7,
3182,639.1220709786882,2.2470601,4.013485076238055E7,
1891,431.19468013377343,2.7161237,5.6367945650359966E7,
1813,421.2091326270462,4.1931971,4.408393902224825E7,
323,191.0547941241859,2.2664329,1.0378677470808358E8,
749,285.0827454712952,0.61325845,7.605902902464306E7,
2172,469.0450770491182,2.981951,8.657929040022412E7,
2683,539.2158507170797,2.8725496,3.1577513478670545E7,
2848,569.1740871532928,0.90838982,1.6879304622519857E8,
2208,473.103736841136,2.8166042,4.142240148992076E7,
822,297.04673329036035,0.62237717,6.177211729623084E7,
262,179.03392199973712,1.8970729,8.159583941579223E7,
428,213.14950605863353,5.0205147,4.3868225244494975E7,
1105,335.0784878422556,2.6721969,3.9837761080837324E7,
3917,931.2230079000753,2.9913322,3.7455767467997886E7,
785,293.0309218181427,2.981951,5.981623314913249E7,
2479,503.1422374371102,1.6760077,3.502206842235182E7,
3708,821.5526786968225,11.595146,5.139403599990051E7,
2960,591.1026826848317,2.6845238,3.0596202144015286E7,
716,279.05151930892725,3.0349611,4.042519078480818E7,
3953,947.158947026033,2.981951,3.2355549903621655E7,
1381,371.1205202016518,0.60423353,6.755877306705263E7,
2087,457.08089081414334,3.2950364,4.87795626265111E7,
2262,477.1062484815585,3.2728949,3.0154847178361226E7,
103,146.04429751732877,0.60423353,1.1947244772274798E8,
12,128.95805556921897,0.55540882,5.228165245670293E7,
2618,529.1574624159562,2.307268,3.550062678020525E7,
1498,383.084987746006,0.62237717,5.849302862100582E7,
1946,439.08160940185377,0.63134584,1.299375424950894E8,
4012,981.5948954787577,10.895363,7.701304794449084E7,
2653,535.1098937700212,2.5953223,2.5488452490796693E7,
789,293.0879038155023,0.8881733,1.4728641230398607E8,
1383,371.13742625545626,3.8226787,2.9374200348324522E7,
3236,653.1388656649303,2.0289303,6.884501867740488E7,
15,129.0228905972538,11.494557,1.8334972621322852E8,
2237,475.11079070502905,2.0593259,1.1669492771123397E8,
471,221.15466125410515,7.5054896,4.4050581514295086E7,
3167,637.1434640959097,2.2470601,2.0110137067078542E7,
540,239.05578902911384,2.5213458,9.246218493574391E7,
1763,415.0887097843099,2.6167493,2.5365379829570033E7,
452,218.1030444048523,1.7397989,3.132171550900708E7,
3038,607.1342049415944,2.8938641,2.3101366816584494E7,
3591,785.1828720907039,2.6167493,2.2036430490644187E7,
3279,663.1234778017164,1.9259018,3.6115180108104154E7,
1430,377.0868191127295,0.61325845,4.454422001549699E7,
14,129.02288584281453,10.663412,2.2238908057524064E8,
1767,415.1988362237233,3.4811248,2.284304719553627E7,
1359,367.1410369168608,4.1579452,3.619714130047508E7,
1254,355.10488130665965,2.5428998,2.596401632722436E7,
3347,683.2280281109807,0.60423353,6.497618269235161E7,
1203,349.05789335529306,3.1339375,5.861666722755936E7,
49,133.01293298936844,2.6845238,2.819594866193197E7,
332,193.05008408008032,3.7414084,3.552922956225739E7,
2839,567.2123625341618,3.5040371,2.0232414577401597E7,
2476,503.1224510162811,3.4811248,2.3397512448745843E7,
2347,487.14770479408725,2.2571871,2.2501515641971257E7,
589,249.0612953466031,4.1579452,3.071073485190719E7,
3619,793.5191146416616,11.172459,2.4842847551644307E7,
2071,455.1420068715713,0.8881733,1.349489386802955E8,
3401,705.1698638263769,2.2664329,2.874744138768965E7,
1132,339.09423759853684,0.78938649,8.854199189389916E7,
1656,403.199497178389,4.8047451,2.8259767060902324E7,
100,145.0603190662945,0.57514835,4.074200594867303E7,
3522,755.2072266344894,2.456367,1.832124332974553E7,
2165,467.142309462045,0.8881733,1.432473347822935E8,
2791,559.3161238518127,7.3722217,2.1022703381677926E7,
1972,441.19920559157373,3.3535548,1.5445769287254902E7,
1034,325.0936930845113,2.3712572,2.4875070378477875E7,
850,299.07722815399717,2.2367539,1.8884241242288377E7,
73,137.0228466042121,2.1626231,3.43340215533118E7,
528,236.03214129009095,2.9723677,3.112253332248872E7,
2976,593.1551709491387,3.2372598,1.719733968628451E7,
3104,621.148289114992,2.5854661,1.8448890092307504E7,
3984,959.6094406834007,11.637608,4.882708561587767E7,
894,307.1405765713108,3.0024134,2.058839038085947E7,
3382,695.1889140601688,2.2571871,2.7065914262439482E7,
2012,447.1367729080962,1.3342057,1.3963605908052376E8,
849,299.07826123676733,1.811863,2.328731615873287E7,
1235,353.11042776443185,1.6231934,2.6490092720933236E7,
121,149.0075822027224,0.63134584,6.1761006677428894E7,
3324,675.1983631537473,2.8938641,1.1956229345932616E7,
3740,831.507196313588,10.884886,2.1976473635304693E7,
198,165.03861546462193,0.62237717,4.398789213565036E7,
3848,875.5275208033493,10.895363,1.883053970261395E7,
110,147.02839043991145,1.0153579,6.739671097335134E7,
3557,769.1888229814904,2.7840065,1.144304246652009E7,
67,135.04415983984927,3.6980129,4.2994543979697734E7,
1659,404.12006260956423,0.8881733,4.6688369267928526E7,
2178,469.2323310959145,4.3802648,1.5246735666120406E7,
1056,327.0725281199118,2.1962167,3.0723088406741936E7,
1075,329.0888873011854,2.6070681,1.6083410367156157E7,
560,242.9398379710803,0.52663612,2.157451821489983E7,
2526,511.05544201299404,4.1579452,1.1773430483789008E7,
171,161.02300621268498,2.0381219,2.3920731188421503E7,
347,195.049741320607,0.61325845,4.197802253088421E7,
1355,367.1045216624576,2.8059772,1.4780022883571092E7,
2849,569.1737190822822,1.6971867,1.2992114413767306E7,
3766,841.2461341860148,2.2664329,1.3273106038186584E7,
101,145.0856097895801,4.20472,2.7540817438966684E7,
1304,361.16761514405306,7.1420776,2.272704821969249E7,
2400,493.10049313177643,3.1228646,1.4277531861291118E7,
3372,691.1549847190274,2.838127,9799843.059595698,
1765,415.1260745056654,2.4041341,1.338088651425624E7,
2068,455.0648368744098,3.4698019,1.8629572703414053E7,
1118,337.09416816605795,2.2470601,1.847164285898838E7,
3051,609.1477272301033,3.0143716,1.1005746818171123E7,
405,207.0653150840532,3.6266636,1.3722427587784221E7,
1666,405.0439506820339,0.96673527,1.2918756838596404E8,
904,309.0625937956934,3.2841282,1.1626610966424381E7,
1588,393.10507800409044,0.96673527,3.725250624015122E7,
2409,494.190241616475,1.7397989,1.2562713888026463E7,
249,177.0181960220197,2.6845238,2.2283820787190605E7,
312,189.0755797971148,2.981951,1.711770516023791E7,
297,187.09641366200017,4.20472,2.2732142766067706E7,
458,219.08697402913114,2.8725496,1.81878677374627E7,
651,263.1288946592065,4.1244038,1.1669588026126644E7,
2218,473.5734430215472,2.9723677,1.20572674813749E7,
925,311.05524696825336,0.8881733,8.15715165816148E7,
3954,947.7173572767957,2.8166042,7785068.389791542,
2226,474.14708875864653,0.61325845,2.432341482827006E7,
3092,619.2612074460588,9.4586703,1.2271490976239027E7,
50,133.01265541072024,3.1339375,1.4086395691070296E7,
3032,605.2796320549118,10.335058,9821911.889143974,
1432,377.1445666551465,8.9555195,1.187575723256101E7,
2304,483.1370510871345,1.260602,3.563755190960599E7,
4024,989.2303001615676,3.2728949,8534383.05107159,
2568,519.1896922416382,3.4117523,7858493.661279277,
820,296.8832047446933,0.55540882,1.4342539095629595E7,
1727,410.863313667951,0.54567768,1.2463997974611433E7,
1051,326.90237380204616,0.53656315,1.442535991607575E7,
3025,604.1738871479965,0.63134584,2.4874620244543545E7,
3312,669.1690644318079,2.1962167,6988231.446005087,
1017,323.13593952758515,2.4041341,8244448.919184531,
576,245.1396877612319,3.7865938,9715475.715326438,
2340,487.0909663353723,3.4469146,1.1772238627710307E7,
933,311.16997003492656,8.1395041,5.7193118937078424E7,
884,306.0773996192193,0.8099738,4.043487404991651E7,
184,163.03853546309716,2.2470601,1.2458855094898062E7,
2760,555.0377978364243,0.57514835,9336787.45521182,
1393,373.05239791387123,0.8881733,4.9786262831687674E7,
790,293.1248908352071,2.4254527,1.757748205094015E7,
51,133.027223899015,1.8970729,3.552973148471653E7,
2345,487.12790797507853,3.5894074,8831178.261323657,
3625,795.5315722707045,11.553775,1.4371123504122805E7,
2544,515.1413612593618,1.8019151,9080498.7179495,
3246,654.5089913900498,11.675128,1.3071522297722561E7,
341,194.08160634534545,6.4252282,1.4040960191570004E7,
2343,487.10975992533804,2.2861869,1.998656012830971E7,
200,165.0545614332645,3.6266636,9637252.81088681,
2462,501.1470161619503,0.83887992,4.516978964279135E7,
792,293.17710597738113,5.9832289,1.0439625251500856E7,
2954,589.0857928553838,2.6845238,7500847.50973353,
924,311.0409677649191,2.981951,1.3936234969167111E7,
2072,455.1425112716733,1.7080074,8734227.7416677,
2060,453.0131806948174,2.275637,2.101335432391641E7,
1302,361.15199484449147,3.2728949,8293092.281436657,
125,149.04392681426282,0.62237717,2.7953270836777452E7,
3813,859.5398166078455,11.269173,1.6385828287207615E7,
2292,481.2596691038622,8.1177772,1.3132568370441196E7,
1053,327.0362686609875,1.888,2.248563626223635E7,
1468,380.0464325120391,3.4811248,6902957.966951442,
1320,363.03674444215756,2.8166042,5501538.233005779,
630,258.9174062755061,0.53656315,1.2270541364067644E7,
173,161.0801733767605,2.9723677,9068647.110401606,
1286,359.0997053449014,2.8614497,6393625.644781221,
984,319.0836377087461,3.3064426,7091860.457769007,
3146,631.1329404430227,2.6721969,5395081.123401799,
172,161.0229160326264,2.5953223,8224842.705499842,
112,147.0439110160207,3.6266636,7989641.417853831,
875,304.992459340157,0.69757248,2.661703034092594E7,
476,223.06102836351934,3.2484097,9733540.672628824,
927,311.07778767935724,2.6498825,7413161.751809301,
3966,955.1468384225824,3.0901648,5827952.114686612,
1358,367.104998008144,2.4041341,9798717.381422712,
3826,861.5545902102115,11.595146,1.353495690604611E7,
1787,417.21408695507176,3.6266636,6747415.092952192,
1715,409.13546742992975,1.1272883,5.337811620978632E7,
425,212.92049800943732,0.56549217,9404933.798220832,
906,309.0621365738895,2.9276098,7326595.188578432,
2084,456.86116232666865,0.52663612,6772655.280964078,
118,148.05139902620616,4.1579452,7614973.3654595865,
1713,409.0748609696676,2.0701655,2.7088389998296194E7,
3568,776.5567220838217,11.088939,1.28300398862118E7,
219,173.00749691154252,0.8099738,5.033307580052044E7,
