row ID,row m/z,row retention time,1685365277_ALC_dbgi_QC03_neg_20230530152214.mzML Peak area,
2916,433.1379417423844,3.052188,6.998734521365526E9,
1615,321.0847030266776,0.95194577,6.268974606261073E9,
1831,341.0896827959924,2.0882215,1.436034664094634E9,
1956,353.0897691382162,2.3144638,1.9650472207917805E9,
3531,479.18029900181034,3.5288786,7.831979480920613E8,
5131,707.1895543533202,2.3043513,8.010107405486214E8,
3439,473.0741929123719,3.0128008,9.3997258298237E8,
2956,435.15281154138773,2.6564136,5.207632870182876E8,
446,191.05529905853575,0.62576047,1.6747574406365027E9,
57,133.0129945651253,0.68107469,2.650920091042275E9,
2196,373.1160754077712,2.4651274,6.196260464482158E8,
3912,515.1231837536994,3.3671672,4.01646171094182E8,
2585,403.12616775344156,2.8862684,3.486238901379337E8,
1958,353.08966311400593,1.9824223,5.944623512133582E8,
4072,533.1741798120469,0.62576047,6.978932876819555E8,
354,179.03439819468906,2.504475,5.222272725415289E8,
1486,311.04305276036655,1.9617641,5.1710419801227576E8,
2389,387.11636175198333,0.60735435,1.6966841361590343E9,
2255,377.08753174447054,0.62576047,4.969847298214004E8,
1460,309.0840324380127,0.80502383,1.1529400983533912E9,
2230,375.13172315403625,2.159369,2.5030491295297974E8,
5043,683.18893933511,2.0882215,1.8291287026848486E8,
3163,451.14731787944487,2.3253074,3.0694288419403225E8,
1788,337.0937241151688,2.928216,2.4857776135325745E8,
2597,404.1054219616595,0.62576047,3.1558536552908283E8,
440,191.01965230239762,0.83581328,9.767579858073905E8,
3497,477.0696019094039,3.114946,1.7621614342726818E8,
3094,447.09622352626417,3.1895517,3.072797850594187E8,
382,181.0707450256403,0.58732744,3.868037559836544E8,
1489,311.04178905927046,2.2761078,2.3098860288208508E8,
3162,451.1469300556555,3.0312778,5.527285729768032E8,
1143,281.0675771718332,2.5272249,2.883361035452962E8,
329,175.06016196790694,2.3484678,2.401833947511993E8,
5292,747.2410008972084,2.4651274,1.0941834906076944E8,
1180,285.0419063916679,4.114006,2.734830186726165E8,
1141,281.0310866750098,2.1499524,2.894842279022905E8,
1654,325.0578807943053,2.4950022,1.7418841875417048E8,
4562,593.1548666813783,3.0926857,9.754656421654072E7,
5056,684.322254834039,4.7263373,1.6799611333057296E8,
3914,515.1428222504711,1.8554461,9.712697262019749E7,
2044,359.13607913792254,3.0926857,9.911705014104536E7,
2260,377.14462490314037,8.9647089,1.46728121367863E8,
1490,311.055575206983,0.91401897,5.61434562596998E8,
4664,609.1871657419844,3.5504451,7.914269519943108E7,
1301,295.04690864077054,2.7210173,2.0182655167945203E8,
4968,665.1395943258277,1.9824223,8.785009560387994E7,
4662,609.1481428976693,3.0312778,6.998482345786102E7,
2887,431.10027871667546,3.4855268,8.170261610273609E7,
931,253.03543137413465,2.8862684,1.2255261053284134E8,
4660,609.129835665861,3.7357189,8.830796307585242E7,
3323,463.0905374699636,3.1369167,7.44779308623397E7,
624,215.03245050604767,0.60735435,1.444251720827205E8,
4037,529.1576629950149,2.3484678,7.69379698602969E7,
5553,819.5395379358428,11.258287,1.950237286499387E8,
3283,460.12990064080003,3.4209106,5.9896039686620526E7,
2349,383.0852348250778,0.63468538,1.6207345690175962E8,
549,205.0712615702583,2.159369,7.841688476241946E7,
1657,325.09383222797317,2.4010945,6.4403317516791746E7,
2802,421.1361391899401,2.159369,5.4684584594412364E7,
4563,593.1554123635669,3.4538478,1.159628513187317E8,
447,191.05492737704566,2.3144638,1.2857780061978233E8,
4740,623.092564370869,1.9617641,4.138642455363406E7,
2890,431.1211459165656,2.4950022,4.551883908298492E7,
793,236.03189870968106,3.0219216,7.98865566372233E7,
4091,535.1486480053541,3.7716957,5.720718726593917E7,
5846,973.5217826416936,4.6338775,4.386395240348035E7,
1832,341.1099592909171,0.60735435,2.835793074442407E8,
4742,623.130155406924,2.1397796,7.427577271496844E7,
3756,499.14754361394256,2.2554309,4.160119759273829E7,
4875,649.4022613230296,6.5408981,9.16802124615227E7,
800,237.0403723840086,2.1499524,1.1249683008182518E8,
3097,447.09523526969286,2.8085688,4.9043655580361E7,
3006,439.08557882001145,0.62576047,1.592209771392452E8,
2170,371.12126643135997,0.61655637,9.196152350053541E7,
4117,537.0853634023874,4.6564461,6.222759151772479E7,
678,221.1546869843682,7.5173708,6.666983270318589E7,
4490,582.2838409167675,4.9220797,4.430030120303806E7,
3834,507.11796564723375,3.6312967,4.552964297342942E7,
4970,665.1376961083124,2.2951743,5.9009850863367125E7,
4663,609.1468224212493,2.4857397,3.1990171017411996E7,
2355,383.19159355871017,10.664314,6.2238801041955955E7,
3480,475.13252842739666,0.71772652,1.9049517192686382E8,
3373,467.1429620667271,0.91401897,2.695678588942352E8,
5429,791.5059757767407,10.886704,1.0916804710393283E8,
