row ID,row m/z,row retention time,1685365277_ALC_dbgi_QC05_neg.mzML Peak area,
1,433.1372380167597,3.0255944,7.290659095416728E9,
2,479.1798466823222,3.5227036,9.645856635595769E8,
3,707.1881987590732,2.2574287,8.984279671101036E8,
4,351.07390235663337,2.2676244,6.120314197488267E7,
5,435.152349542549,2.6276762000000002,6.793616443441664E8,
6,471.0576536517893,2.9851176,2.5078053278577355E8,
7,373.1156176647818,2.4329254,7.040916517889886E8,
8,191.05505933540488,0.61929793,1.6880632203173623E9,
9,133.0128946760608,0.70176406,2.640960117901643E9,
10,353.0892844534671,1.9245955,5.2887306075179094E8,
11,513.1067961454974,3.3437402,2.1466007065004118E7,
12,179.0341332740714,2.4516252999999995,5.457674880819858E8,
13,533.1736280934534,0.61929793,7.664560682762667E8,
14,451.1469293654062,2.2878201,4.426415413795605E8,
15,387.11579886626214,0.6011689,1.6164643513688734E9,
16,309.02688486938905,1.8936853,4.897426725016983E8,
17,375.13129264113655,2.1159922,3.1858697135566044E8,
18,377.0869987664308,0.61929793,6.434525187138191E8,
19,309.0834671335567,0.78707388,1.0021949591698383E9,
20,321.0840636445221,1.4755756,1.4064102262417197E9,
21,747.2399095001336,2.4329254,1.6042937606581807E8,
22,337.0932764424824,2.8922036,2.6248440898623168E8,
23,191.019341320931,0.82766112,1.1883623169901533E9,
24,451.1463948367588,3.0255944,6.143176082924517E8,
25,447.09556802922896,3.1575352,3.543913183101144E8,
26,404.1046605332804,0.61929793,3.452424636453693E8,
27,181.0705620009177,0.58030026,3.965581880663069E8,
28,281.0671828924306,2.4516252999999995,3.1821479827635235E8,
29,175.0600332343733,2.2977325999999993,2.2413198644969118E8,
30,609.1866099284725,3.5331202,1.1231343275720201E8,
31,283.02595785286826,4.0908311,3540677.793103467,
32,325.05749350216195,2.4611002,2.1049163569444582E8,
33,469.0424676593518,2.9662656,2.0876529506252867E8,
34,684.3217292186192,4.7192456,2.0332833557860258E8,
35,609.1470548571506,3.0047466,1.0925774744173631E8,
